ProductID,ProductName,Category,BasePrice,OrderID,CustomerID,TotalPrice,Name,Email,Country,YearMonth,OrderYear,Profit
PROD5000,Road,Home & Kitchen,492.53,ORD20000,CUST1000,541.94,Melvin,abigail45@gmail.com,Cocos (Keeling) Islands,10/31/2024,2024,108.388
PROD5001,Best,Toys,14.82,ORD20001,CUST1001,108.67,Roberto,cindy03@hotmail.com,Trinidad and Tobago,4/30/2023,2023,21.734
PROD5002,Computer,Clothing,173.44,ORD20002,CUST1002,776.72,Marissa,qchan@nelson.net,Gibraltar,5/31/2024,2024,155.344
PROD5003,Few,Toys,381.88,ORD20003,CUST1003,429.81,Shane,melissacannon@bentley-turner.com,Romania,8/31/2024,2024,85.962
PROD5004,See,Clothing,403.13,ORD20004,CUST1004,1022.26,Warren,bradleyhess@hotmail.com,Bhutan,4/30/2023,2023,204.452
PROD5005,Seat,Books,28.13,ORD20005,CUST1005,297.33,Melissa,robertsbrian@hotmail.com,Malaysia,3/31/2024,2024,59.466
PROD5006,Realize,Books,429.18,ORD20006,CUST1006,855.79,Norma,wbowman@gmail.com,Niger,8/31/2023,2023,171.158
PROD5007,Before,Toys,82.48,ORD20007,CUST1007,1045.23,Lance,jasmine26@brown.info,Nepal,10/31/2024,2024,209.046
PROD5008,Where,Books,370.72,ORD20008,CUST1008,40.72,Beverly,shellydavis@vargas-bolton.com,Svalbard & Jan Mayen Islands,11/30/2024,2024,8.144
PROD5009,Write,Toys,182.48,ORD20009,CUST1009,784.5,Shane,davischristopher@black-harris.org,Reunion,1/31/2024,2024,156.9
PROD5010,Station,Books,267.1,ORD20010,CUST1010,554.77,Juan,stephanie62@yahoo.com,South Georgia and the South Sandwich Islands,10/31/2024,2024,110.954
PROD5011,Manager,Clothing,354.72,ORD20011,CUST1011,1262.36,Kevin,dianegarcia@yahoo.com,Canada,4/30/2024,2024,252.472
PROD5012,Popular,Clothing,291.04,ORD20012,CUST1012,319.03,Shelby,jessica90@gmail.com,Bermuda,5/31/2024,2024,63.806
PROD5013,Only,Clothing,322.35,ORD20013,CUST1013,132.51,Cory,nicholaslong@hotmail.com,Chile,3/31/2023,2023,26.502
PROD5014,Third,Books,431.84,ORD20014,CUST1014,887.59,Nicholas,torressheryl@gmail.com,Bouvet Island (Bouvetoya),5/31/2024,2024,177.518
PROD5015,Campaign,Books,118.75,ORD20015,CUST1015,1374.7,Justin,linda05@gibson.com,Guinea-Bissau,3/31/2023,2023,274.94
PROD5016,Several,Books,97.5,ORD20016,CUST1016,673.42,Amanda,mcrawford@olson-rodriguez.com,Kuwait,2/28/2023,2023,134.684
PROD5017,Business,Beauty,156.14,ORD20017,CUST1017,799.42,Vincent,victoriaroberson@collins.com,Guinea-Bissau,4/30/2023,2023,159.884
PROD5018,Career,Toys,229.49,ORD20018,CUST1018,1054.42,Tyler,christinemoore@waller-lopez.org,Korea,11/30/2023,2023,210.884
PROD5019,Us,Books,409.57,ORD20019,CUST1019,968.25,Brenda,ricardochandler@hale-brown.com,Benin,6/30/2024,2024,193.65
PROD5020,So,Beauty,308.45,ORD20020,CUST1020,97.07,Allen,shari90@moore.com,Macedonia,12/31/2023,2023,19.414
PROD5021,Range,Books,480.97,ORD20021,CUST1021,1241.89,Jeffrey,michaelmiller@clark.com,Cameroon,7/31/2024,2024,248.378
PROD5022,Decision,Home & Kitchen,233.49,ORD20022,CUST1022,1183.45,Carol,danielsmichelle@hotmail.com,Costa Rica,9/30/2024,2024,236.69
PROD5023,Today,Home & Kitchen,203.88,ORD20023,CUST1023,835.33,Hector,vcarpenter@gmail.com,Nicaragua,5/31/2024,2024,167.066
PROD5024,Process,Home & Kitchen,54.08,ORD20024,CUST1024,109.33,Suzanne,rkeller@turner.net,Korea,5/31/2024,2024,21.866
PROD5025,Experience,Beauty,181.01,ORD20025,CUST1025,310.97,Andrea,ymejia@barber-brady.net,Bahrain,7/31/2023,2023,62.194
PROD5026,Outside,Toys,258.12,ORD20026,CUST1026,241.98,Matthew,jeremy77@wallace.com,Zimbabwe,3/31/2024,2024,48.396
PROD5027,Use,Books,89.45,ORD20027,CUST1027,919.75,Bryan,emily87@hudson.com,South Georgia and the South Sandwich Islands,11/30/2024,2024,183.95
PROD5028,Opportunity,Clothing,163.35,ORD20028,CUST1028,1112.32,Katherine,wclark@rodriguez.com,Jordan,11/30/2023,2023,222.464
PROD5029,Country,Beauty,451.88,ORD20029,CUST1029,1335.25,Joseph,jennifer27@gmail.com,Serbia,4/30/2024,2024,267.05
PROD5030,Face,Clothing,252.22,ORD20030,CUST1030,358.26,Laura,billyramirez@hotmail.com,Grenada,6/30/2024,2024,71.652
PROD5031,Hear,Clothing,282.55,ORD20031,CUST1031,423.69,Dennis,ydelgado@thompson.net,Somalia,1/31/2024,2024,84.738
